Brett,Wright,1828450843,1971-09-27,1,1200
Brooklyn,Sloan,8131166797,1980-07-16,1,1200
Wayne,Guerrero,1460091495,1955-06-07,1,1200
Antonio,Garner,3539212588,1955-03-22,1,1200
Vicki,Blair,0784239765,1958-09-29,1,1200
Donald,Morgan,1190111696,1977-12-30,1,1200
Francis,Drake,3313749470,1982-09-04,1,1200
Ken,Carr,5596524704,1961-08-11,1,1200
Noah,Sheppard,6341842294,1958-11-17,1,1200
Laura,Richardson,1874571022,1978-12-28,1,1200
Evelyn,Cardenas,4439313500,1978-04-13,1,1200
Blake,Morrison,2751071043,1976-06-08,1,1200
Carmen,Boyer,6393085045,1975-04-03,1,1200
Brad,Mays,2689744648,1977-07-17,1,1200
Kelsey,Arnold,1518834076,1960-12-13,1,1200
Mary,Whitaker,1071273179,1966-03-19,2,1300
Rod,Parsons,3174754711,1977-01-06,2,1300
Ray,Bates,1347582243,1981-07-09,2,1300
Jenny,Head,6189438647,1962-04-17,2,1300
Carmen,Woodward,7654837485,1955-05-22,2,1300
Pam,Lawson,3921318190,1980-12-07,2,1300
Rob,Ruiz,1945030245,1963-11-16,2,1300
Deanna,Casey,1441837725,1973-03-11,2,1300
Sean,Fitzgerald,6955789493,1984-01-11,2,1300
Harley,Burnett,7181723731,1955-11-24,3,1350
Brad,Gaines,9563569212,1956-01-02,3,1350
Jason,Patton,1406721938,1982-08-13,3,1350
Jessie,Cortez,5666756896,1963-08-20,3,1350
Howard,Duran,2426238029,1974-08-25,3,1350
Alisha,Malone,9149945283,1969-09-05,3,1350
Alissa,Long,0274544241,1972-03-21,3,1350
Cheyenne,Mathis,1524907438,1957-12-10,3,1350
Jack,Burris,4703829688,1959-01-15,4,1350
Sher,Nelson,1328129879,1966-07-29,4,1350
Mark,Marsh,6167807680,1983-03-24,4,1350
Angela,Wong,8846793378,1975-06-13,4,1350
Gage,Barr,1047504983,1958-06-11,4,1350
Brooke,Owens,4570538403,1976-12-02,4,1350
Vickie,Sharpe,4195520865,1977-10-05,4,1350
Vanessa,England,1397676375,1984-06-27,4,1350
Jon,McDonald,4486153938,1981-12-30,4,1350
Leroy,Warren,5309327039,1958-08-17,4,1350
Melissa,Hendricks,9447208619,1967-04-01,4,1350
Carolyn,Lambert,9292427254,1966-08-21,4,1350
Jasmine,Bridges,8593998908,1965-06-21,4,1350
Sherry,Underwood,5290861677,1964-09-25,4,1350
Trevor,Holman,0562799526,1957-10-23,5,1350
Don,Griffith,7087248929,1976-08-09,5,1350
Cameron,Patterson,9200138823,1960-07-26,5,1350
Steve,McPherson,8131001734,1974-08-09,5,1350
Nina,Good,7626528102,1975-05-05,5,1350
Leonard,Brown,8244034191,1972-11-28,5,1350
Shane,Curtis,3533728676,1970-01-07,5,1350
Tonya,Cain,7005465013,1976-09-01,5,1350
Joyce,Ratliff,2058550756,1964-10-17,5,1350
Vickie,Knowles,2040300547,1974-12-28,5,1350
Rex,Hardin,8020792619,1979-12-03,6,1300
Rebecca,Pierce,2639083461,1975-05-11,6,1300
Francis,Stewart,6992362176,1963-02-19,7,1500
Sara,Patel,0229896628,1973-08-02,7,1500
Marsha,Whitney,4306233532,1982-11-24,7,1500
Joseph,Flynn,5758087710,1955-04-11,7,1500
Jesse,Hudson,5390978055,1978-01-24,7,1500
Kelly,Miranda,4115767947,1959-04-22,7,1500
Evelyn,Lamb,7556768432,1963-06-22,8,1250
Paige,Wheeler,2294606030,1968-08-03,8,1250
Russ,Schroeder,6215438632,1978-10-13,8,1250
Katelyn,Warner,0980570174,1980-05-26,8,1250
Darrell,Fuentes,3801194705,1962-02-05,8,1250
Brad,Hood,1585478545,1980-04-30,8,1250
Candy,Rutledge,2117931756,1965-12-01,8,1250
Cody,Emerson,0614282608,1964-03-02,8,1250
Joe,Holloway,1839289643,1956-03-29,8,1250
Jessica,Romero,5184183513,1962-09-10,8,1250
Dillon,Fowler,8979552753,1982-04-27,8,1250
Dixie,Tanner,1172602769,1955-06-04,9,1150
